Country,Region,Subregion,Rate,Count,year
Central African Republic,Africa,Middle Africa,19.76,913,2016
Chad,Africa,Middle Africa,9.04,1266,2015
Channel Islands,Europe,Northern Europe,0.0,0,2010
Chile,Americas,South America,4.4,825,2018
China,Asia,Eastern Asia,0.53,7525,2018
Colombia,Americas,South America,25.34,12586,2018
Comoros,Africa,Eastern Africa,7.7,60,2015
Congo,Africa,Middle Africa,9.32,466,2015
Cook Islands,Oceania,Polynesia,3.49,1,2012
Costa Rica,Americas,Central America,11.26,563,2018
Croatia,Europe,Southern Europe,0.58,24,2018
Cuba,Americas,Caribbean,4.99,572,2016
Curaçao,Americas,Caribbean,19.19,26,2007
Cyprus,Asia,Western Asia,1.26,15,2018
Czech Republic,Europe,Eastern Europe,0.6,66,2017
Côte d'Ivoire,Africa,Western Africa,11.63,2688,2015
DR Congo,Africa,Middle Africa,13.55,10322,2015
Denmark,Europe,Northern Europe,1.01,52,2018
Djibouti,Africa,Eastern Africa,6.48,60,2015
Dominica,Americas,Caribbean,25.7,19,2017
Dominican Republic,Americas,Caribbean,10.05,1068,2018
Ecuador,Americas,South America,5.8,991,2018
Egypt,Africa,Northern Africa,2.51,2207,2012
El Salvador,Americas,Central America,52.02,3340,2018
England and Wales,Europe,Northern Europe,1.2,726,2017
Equatorial Guinea,Africa,Middle Africa,2.31,27,2015
Eritrea,Africa,Eastern Africa,8.04,390,2015
Estonia,Europe,Northern Europe,2.12,28,2018
Eswatini,Africa,Southern Africa,9.5,130,2017
Ethiopia,Africa,Eastern Africa,7.56,7552,2015
Fiji,Oceania,Melanesia,2.26,20,2014
Finland,Europe,Northern Europe,1.63,90,2018
France,Europe,Western Europe,1.2,779,2018
French Guiana,Americas,South America,13.15,30,2009
French Polynesia,Oceania,Polynesia,0.38,1,2009
Gabon,Africa,Middle Africa,8.04,155,2015
Gambia,Africa,Western Africa,9.13,181,2015
Georgia,Asia,Western Asia,2.22,89,2018
Germany,Europe,Western Europe,0.95,788,2018
Ghana,Africa,Western Africa,2.1,609,2017
Gibraltar,Europe,Southern Europe,3.01,1,2010
Greece,Europe,Southern Europe,0.94,99,2018
Greenland,Americas,Northern America,5.31,3,2016
Grenada,Americas,Caribbean,11.1,12,2017
Guadeloupe,Americas,Caribbean,8.01,36,2009
Guam,Oceania,Micronesia,2.51,4,2011
Guatemala,Americas,Central America,22.5,3881,2018
Guinea,Africa,Western Africa,8.82,1067,2015
Guinea-Bissau,Africa,Western Africa,1.1,21,2017
Guyana,Americas,South America,14.25,111,2018
Haiti,Americas,Caribbean,6.68,773,2018
Honduras,Americas,Central America,38.93,3732,2018
Hong Kong,Asia,Eastern Asia,0.65,48,2018
Hungary,Europe,Eastern Europe,2.5,242,2017
Iceland,Europe,Northern Europe,0.89,3,2018
India,Asia,Southern Asia,3.08,41651,2018
Indonesia,Asia,South-Eastern Asia,0.4,1150,2017
Iran,Asia,Southern Asia,2.47,1936,2014
Iraq,Asia,Western Asia,9.85,3339,2013
Iraq (excluding Kurdistan),Asia,Western Asia,10.08,3029,2014
Ireland,Europe,Northern Europe,0.87,42,2018
Isle of Man,Europe,Northern Europe,0.0,0,2016
Israel,Asia,Western Asia,1.36,110,2015
Italy,Europe,Southern Europe,0.57,345,2018
Jamaica,Americas,Caribbean,43.85,1287,2018
Japan,Asia,Eastern Asia,0.26,334,2018
Jordan,Asia,Western Asia,1.4,133,2017
Kazakhstan,Asia,Central Asia,5.0,915,2017
Kenya,Africa,Eastern Africa,4.93,2533,2018
Kiribati,Oceania,Micronesia,7.5,8,2012
Kosovo,Europe,Southern Europe,2.4,44,2018
Kurdistan Region (Iraq),Asia,Western Asia,2.2,111,2013
Kuwait,Asia,Western Asia,1.8,61,2012
Kyrgyzstan,Asia,Central Asia,2.19,138,2018
Laos,Asia,South-Eastern Asia,7.01,467,2015
Latvia,Europe,Northern Europe,4.36,84,2018
Lebanon,Asia,Western Asia,2.49,171,2018
Lesotho,Africa,Southern Africa,41.25,897,2015
Liberia,Africa,Western Africa,3.23,135,2012
Libya,Africa,Northern Africa,2.5,156,2015
Liechtenstein,Europe,Western Europe,2.64,1,2018
Lithuania,Europe,Northern Europe,4.57,128,2019
Luxembourg,Europe,Western Europe,0.3,2,2017
Macau,Asia,Eastern Asia,0.32,2,2018
Madagascar,Africa,Eastern Africa,7.69,1863,2015
Malawi,Africa,Eastern Africa,1.73,279,2012
Malaysia,Asia,South-Eastern Asia,2.11,627,2013
Maldives,Asia,Southern Asia,0.75,3,2013
Mali,Africa,Western Africa,10.9,1905,2015
Malta,Europe,Southern Europe,1.59,7,2018
Martinique,Americas,Caribbean,2.78,11,2009
Mauritania,Africa,Western Africa,9.94,416,2015
Mauritius,Africa,Eastern Africa,2.92,37,2018
Mayotte,Africa,Eastern Africa,5.93,12,2009
Mexico,Americas,Central America,29.07,36685,2018
Micronesia,Oceania,Micronesia,4.67,5,2015
Moldova,Europe,Eastern Europe,4.1,166,2018
Monaco,Europe,Western Europe,0.0,0,2015
Mongolia,Asia,Eastern Asia,6.18,196,2018
Montenegro,Europe,Southern Europe,2.23,14,2018
Montserrat,Americas,Caribbean,19.88,1,2012
Morocco,Africa,Northern Africa,1.42,510,2018
Mozambique,Africa,Eastern Africa,3.4,849,2011
Myanmar,Asia,South-Eastern Asia,2.27,1198,2016
Namibia,Africa,Southern Africa,17.14,388,2012
Nauru,Oceania,Micronesia,0.0,0,2012
Nepal,Asia,Southern Asia,2.16,627,2016
Netherlands,Europe,Western Europe,0.59,100,2018
New Caledonia,Oceania,Melanesia,3.23,8,2009
New Zealand,Oceania,Australia and N.Z.,0.7,35,2017
Nicaragua,Americas,Central America,7.37,453,2016
Niger,Africa,Western Africa,4.44,788,2012
Nigeria,Africa,Western Africa,9.85,17843,2015
Niue,Oceania,Polynesia,0.0,0,2012
North Korea,Asia,Eastern Asia,4.4,1110,2015
North Macedonia,Europe,Southern Europe,1.2,25,2018
Northern Ireland,Europe,Northern Europe,1.22,23,2018
Norway,Europe,Northern Europe,0.47,25,2018
Oman,Asia,Western Asia,0.27,13,2018
Pakistan,Asia,Southern Asia,3.88,8241,2018
Palau,Oceania,Micronesia,11.17,2,2018
Palestine,Asia,Western Asia,0.49,24,2018
Panama,Americas,Central America,9.39,392,2018
Papua New Guinea,Oceania,Melanesia,7.85,520,2007
Paraguay,Americas,South America,7.14,497,2018
Peru,Americas,South America,7.7,2487,2017
Philippines,Asia,South-Eastern Asia,6.46,6895,2018
Poland,Europe,Eastern Europe,0.73,277,2018
Portugal,Europe,Southern Europe,0.79,81,2018
Puerto Rico,Americas,Caribbean,21.09,641,2018
Qatar,Asia,Western Asia,0.38,9,2014
Romania,Europe,Eastern Europe,1.28,250,2018
Russia,Europe,Eastern Europe,8.21,11964,2018
Rwanda,Africa,Eastern Africa,2.52,293,2015
Réunion,Africa,Eastern Africa,1.82,15,2009
Saint Helena,Africa,Western Africa,0.0,0,2009
Saint Kitts and Nevis,Americas,Caribbean,34.23,18,2012
Saint Lucia,Americas,Caribbean,21.44,39,2018
Saint Pierre and Miquelon,Americas,Northern America,15.93,1,2009
Saint Vincent and the Grenadines,Americas,Caribbean,36.46,40,2016
Samoa,Oceania,Polynesia,3.15,6,2013
San Marino,Europe,Southern Europe,0.0,0,2011
Saudi Arabia,Asia,Western Asia,1.3,419,2017
Scotland,Europe,Northern Europe,1.12,61,2018
Senegal,Africa,Western Africa,7.38,1105,2015
Serbia,Europe,Southern Europe,1.23,108,2018
Seychelles,Africa,Eastern Africa,12.74,12,2016
Sierra Leone,Africa,Western Africa,1.71,124,2015
Singapore,Asia,South-Eastern Asia,0.16,9,2018
Slovakia,Europe,Eastern Europe,1.37,62,2018
Slovenia,Europe,Southern Europe,0.48,10,2018
Solomon Islands,Oceania,Melanesia,3.77,19,2008
Somalia,Africa,Eastern Africa,4.31,599,2015
South Africa,Africa,Southern Africa,36.4,21036,2018
South Korea,Asia,Eastern Asia,0.6,309,2018
South Sudan,Africa,Eastern Africa,13.9,1504,2012
Spain,Europe,Southern Europe,0.62,290,2018
Sri Lanka,Asia,Southern Asia,2.42,514,2018
Sudan,Africa,Northern Africa,5.16,1702,2008
Suriname,Americas,South America,5.5,31,2017
Sweden,Europe,Northern Europe,1.08,108,2018
Switzerland,Europe,Western Europe,0.59,50,2018
Syria,Asia,Western Asia,0.88,149,2018
São Tomé and Príncipe,Africa,Middle Africa,3.36,6,2011
Taiwan,Asia,Eastern Asia,0.82,192,2015
Tajikistan,Asia,Central Asia,1.61,126,2011
Tanzania,Africa,Eastern Africa,6.95,3746,2015
Thailand,Asia,South-Eastern Asia,3.24,2229,2016
Timor-Leste,Asia,South-Eastern Asia,3.95,49,2015
Togo,Africa,Western Africa,9.0,668,2015
Tonga,Oceania,Polynesia,0.95,1,2012
Trinidad and Tobago,Americas,Caribbean,30.88,420,2015
Tunisia,Africa,Northern Africa,3.05,332,2012
Turkey,Asia,Western Asia,2.59,2133,2018
Turkmenistan,Asia,Central Asia,4.22,203,2006
Turks and Caicos Islands,Americas,Caribbean,5.93,2,2014
Tuvalu,Oceania,Polynesia,18.65,2,2012
US Virgin Islands,Americas,Caribbean,49.26,52,2012
Uganda,Africa,Eastern Africa,10.42,4497,2018
Ukraine,Europe,Eastern Europe,6.2,2751,2017
United Arab Emirates,Asia,Western Asia,0.5,44,2017
United Kingdom,Europe,Northern Europe,1.2,809,2018
United States,Americas,Northern America,4.96,16214,2018
Uruguay,Americas,South America,12.06,416,2018
Uzbekistan,Asia,Central Asia,1.1,363,2017
Vanuatu,Oceania,Melanesia,2.13,6,2015
Vatican City,Europe,Southern Europe,0.0,0,2015
Venezuela,Americas,South America,36.69,10598,2018
Vietnam,Asia,South-Eastern Asia,1.52,1358,2011
Yemen,Asia,Western Asia,6.66,1703,2013
Zambia,Africa,Eastern Africa,5.3,853,2015
Zimbabwe,Africa,Eastern Africa,6.67,981,2012
